,game_and_track,value
952,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",strings:strings
953,"Final Fantasy X--""People of the North Pole""",tom_toms:drums:percussion
954,"Final Fantasy X-2--""Mt. Gagazet""",gong:metallic_percussion:percussion
955,"Odin Sphere--""Battle on the Snowy Mountain""",snare:drums:percussion
956,"Kantai Collection--""Winter Fleet""",oboe:woodwinds
957,"Sonic the Hedgehog 3--""Ice Cap Zone""",flute:woodwinds
958,"Donkey Kong Country 2--""In a Snow-Bound Land""",80s
959,"Final Fantasy VII--""Buried in the Snow""",pizz_strings:strings:plucked_strings
960,"Stardew Valley--""Marimba of Frozen Bones""",marimba:percussion
961,"Celeste--""My Dearest Friends""",extended_tertian
962,"Animal Crossing: New Horizons--""Toy Day""",trumpet
963,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",Westminster_chimes
964,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",pennywhistle:woodwinds
965,"Super Mario 3D Land--""Snowball Park""",flute:woodwinds
966,"Super Mario 64--""Cool, Cool Mountain""",accordion
967,"Mother 3--""White""",electric_piano:metallic_percussion:piano
968,"Donkey Kong Country--""Ice Cave Chant""",harp:plucked_strings:strings
969,"Mario Party 3--""Chilly-Chilly Lake""",electric_piano:metallic_percussion:piano
970,"Kirby Triple Deluxe--""Silver Snow Story""",glockenspiel:metallic_percussion:percussion
971,"Atelier Totori: The Adventurer of Arland--""Hepatica""",xylophone:percussion
972,"Monster Hunter Freedom Unite--""Pokke Village""",strings:strings
973,"Paper Mario--""Cold Reception""",glockenspiel:metallic_percussion:percussion
974,"Banjo-Kazooie--""Freezeezy Peak""",sleigh_bells:metallic_percussion
975,"Kirby 64: The Crystal Shards--""Shiver Star""",synth_bass:synth:bass
976,"Pokémon Diamond/Pearl--""Route 216""",synth_bass:synth:bass
977,"Super Smash Brothers Melee--""Icicle Mountain""",extended_tertian
978,"Knight Arms--""Arsys Christmas Song""",electric_guitar:guitar
979,"Super Mario Kart--""Vanilla Lake""",glockenspiel:metallic_percussion:percussion
980,"Mario Kart 64--""Frappe Snowland""",calliope:woodwinds
981,"Kirby Air Ride--""Float Islands""",electric_bass:bass
982,"Kirby Air Ride--""Frozen Hillside""",strings:strings
983,"Kirby Air Ride--""Rainbow Resort""",marimba:percussion
984,"Kirby and the Amazing Mirror--""Crystal and Ice""",electric_bass:bass
985,"Kirby’s Adventure--""Rainbow Resort""",drumset:drums
986,"Kirby Canvas Curse--""Frozen Fantasy""",pan_flute:woodwinds
987,"Baku Bomberman--""White Ice""",drumset:drums
988,"Donkey Kong Country--""Northern Hemispheres""",harp:plucked_strings:strings
989,"Donkey Kong Country 3--""Frosty Frolics""",hi-hat:metallic_percussion:percussion
990,"Mother 2--""Winters""",pan_flute:woodwinds
991,"Chrono Trigger--""Singing Mountain""",piano:piano
992,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",pan_flute:woodwinds
993,"Final Fantasy VI--""Terra’s Theme""",strings:strings
994,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",glockenspiel:metallic_percussion:percussion
995,"Trials of Mana--""Another Winter""",flute:woodwinds
996,"Chocobo’s Dungeon 2--""Snow Field""",vibraphone:metallic_percussion:percussion
997,"Paper Mario--""Crystal Palace Crawl""",vibraphone:metallic_percussion:percussion
998,"Banshee's Last Cry--""Visions of a Distant Day""",strings:strings
999,"Revelations: Persona--""Snow Queen""",electric_piano:metallic_percussion:piano
1000,"Secret of Mana--""A Bell is Tolling""",synth:synth
1001,"Sorcerian--""Cave I""",strings:strings
1002,"Hanjuku Hero--""Field (Winter)""",snare:drums:percussion
1003,"Mōryō Senki MADARA--""Aurora in the Distance""",lament
1004,"Pokémon Diamond/Pearl--""Mt. Coronet""",electric_piano:metallic_percussion:piano
1005,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",electric_piano:metallic_percussion:piano
1006,"Soma Bringer--""Village of Snow""",xylophone:percussion
1007,"Final Fantasy Tactics--""Antidote""",chimes:metallic_percussion:percussion
1008,"Pokémon Diamond/Pearl--""Route 216 (Night)""",piano
1009,"Captain Toad: Treasure Tracker--""Star Express""",synth_lead:synth
1010,"Christmas Nights into Dreams--""Jack Frost's Chime""",accordion
1011,"F-Zero--""White Land""",electric_piano:metallic_percussion:piano
1012,"Gradius Gaiden--""Snowfield""",synth_pad:synth
1013,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",marimba:percussion
1014,"The Legend of Xanadu--""Ice Tower""",synth_bass:synth:bass
1015,"Mega Man & Bass--""Coldman Stage""",synth_bass:synth:bass
1016,"Mega Man Zero 2--""Ice Brain""",electric_guitar:guitar
1017,"Super Street Fighter IV--""Theme of Zangief""",saxophone:woodwinds
1018,"Mega Man X--""Chill Penguin Stage""",drumset:drums
1019,"Mega Man X2--""Crystal Snail Stage""",electric_bass:bass
1020,"Mega Man X3--""Blizzard Buffalo Stage""",synth_pad:synth
1021,"Mega Man X4--""Frost Walrus Stage 2""",acoustic_guitar:guitar:plucked_strings
1022,"Mega Man Zero 3--""Trail on Powdery Snow""",electric_guitar:guitar
1023,"Mega Man ZX--""Wonder Panorama""",drumset:drums
1024,"Castle Crashers--""Winter Bliss""",four_on_the_floor
1025,"Persona 3 FES--""The Snow Queen""",electric_piano:metallic_percussion:piano
1026,"Mushihimesama Futari--""Sea of Frozen Crystals""",drumset:drums
1027,"Scott Pilgrim Vs. The World: The Game--""Another Winter""",synth_lead:synth
1028,"Revelations: Persona--""Ice Castle""",piano
1029,"Sonic Unleashed--""Cool Edge (Day)""",breakbeat
1030,"Gurumin--""Jun Jun Jungle Gym""",flute:woodwinds
1031,"Diddy Kong Racing--""Frosty Village""",flute:woodwinds
1032,"Mario Kart 8--""Mount Wario""",drumset:drums
1033,"Mario Kart 7--""Rosalina's Ice World""",chimes:metallic_percussion:percussion
1034,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",flute:woodwinds
1035,"Ace Combat 5: The Unsung War--""Ice Cage""",harp:plucked_strings:strings
1036,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",strings:strings
1037,"Kirby's Epic Yarn--""Snowy Fields""",strings:strings
1038,"Harvest Moon 64--""New Year’s Eve""",flute:woodwinds
1039,"Harvest Moon 64--""Starry Night Festival""",marimba:percussion
1040,"Harvest Moon 64--""Winter Season""",lament
1041,"Tales of Symphonia--""Snow Light""",harp:plucked_strings:strings
1042,"Stardew Valley--""Nocturne of Ice""",xylophone:percussion
1043,"Stardew Valley--""The Wind Can Be Still""",choral_synth:synth:vocals
1044,"Stardew Valley--""Ancient""",piano
1045,"Stardew Valley--""Winter Festival""",pizz_strings:strings:plucked_strings
1046,"Stardew Valley--""Icicles""",drumset:drums
1047,"Stardew Valley--""Cloth""",analog_synth:synth
1048,"Stardew Valley--""Visitor to the Unknown""",treble_vocal_synth:vocals:synth
1049,"Legend of Zelda: Ocarina of Time--""Ice Cavern""",wind_effect
1050,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",glockenspiel:metallic_percussion:percussion
1051,"Harvest Moon: A Wonderful Life--""Quiet Winter""",pizz_strings:strings:plucked_strings
1052,"Harvest Moon DS--""Winter""",tambourine:metallic_percussion:percussion
1053,"Harvest Moon 3D: A New Beginning--""Winter""",glockenspiel:metallic_percussion:percussion
1054,"Harvest Moon--""Winter""",horn:brass
1055,"Harvest Moon: Magical Melody--""Winter""",crotales:metallic_percussion:percussion
1056,"Harvest Moon: Save the Homeland--""Winter (Farm)""",flute:woodwinds
1057,"Harvest Moon: Save the Homeland--""Winter (Town)""",tambourine:metallic_percussion:percussion
1058,"Harvest Moon: Tree of Tranquility--""Winter""",sine_wave:synth
1059,"Harvest Moon: Animal Parade--""Winter (Day)""",drumset:drums
1060,"Harvest Moon: Animal Parade--""Winter (Night)""",vibraphone:metallic_percussion:percussion
1061,"Harvest Moon: Hero of Leaf Valley--""Winter""",flute:woodwinds
1062,"Harvest Moon: Friends of Mineral Town--""Winter""",lament
1063,"Harvest Moon DS: Island of Happiness--""Winter""",pizz_strings:strings:plucked_strings
1064,"Harvest Moon DS: Sunshine Islands--""Winter""",accordion
1065,"Harvest Moon: The Tale of Two Towns--""Winter""",oboe:woodwinds
1066,"Harvest Moon: Lost Valley--""Winter (Day)""",acoustic_guitar:guitar:plucked_strings
1067,"Harvest Moon: Lost Valley--""Winter (Night)""",acoustic_guitar:guitar:plucked_strings
1068,"Rune Factory: A Fantasy Harvest Moon--""Winter""",glockenspiel:metallic_percussion:percussion
1069,"Rune Factory 2--""Winter""",crotales:metallic_percussion:percussion
1070,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",oboe:woodwinds
1071,"Sonic Unleashed--""Cool Edge (Night)""",treble_vocal_synth:vocals:synth
1072,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",electric_piano:metallic_percussion:piano
1073,"Yooka-Laylee--""Glitterglaze Glacier""",glockenspiel:metallic_percussion:percussion
1074,"Elder Scrolls II: Daggerfall--""Treading Winter""",choral_synth:synth:vocals
1075,"Persona 4--""Snowflakes""",strings:strings
1076,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",choir:vocals
1077,"Runescape 3--""Snowdrops""",strings:strings
1078,"The Legend of Xanadu--""The Ice Cave""",chiptune
1079,"Persona 4--""Christmas Eve""",drumset:drums
1080,"Persona 5--""Christmas Eve [out]""",drumset:drums
1081,"Persona 5--""Christmas Eve [in]""",drumset:drums
1082,"Final Fantasy XIV--""Starlight Celebration""",choir:vocals
1083,"Kingdom Hearts II Final Mix--""Christmas Town""",chimes:metallic_percussion:percussion
1084,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",saxophone:woodwinds
1085,"Overcooked! The Festive Seasoning--""Menu Music""",choir:vocals
1086,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",piano:piano
1087,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",chimes:metallic_percussion:percussion
1088,"Overcooked! The Festive Seasoning--""Level""",glockenspiel:metallic_percussion:percussion
1089,"Overcooked! The Festive Seasoning--""Onion Wildfire""",treble_vocals:vocals
1090,"Pikmin 3--""Fortress of Festivity!""",synth_lead:synth
1091,"Final Fantasy Tactics--""Under the Stars""",horn:brass
1092,"Persona 3--""Memories of the City""",electric_guitar:guitar
1093,"Romancing SaGa 3--""Boundaries""",tom_toms:drums:percussion
1094,"Unlimited Saga--""Theme for Laura""",strings:strings
1095,"PoPoLoCRoIS Monogatari--""Northern World""",I6–IV–V
1096,"Tales of Graces--""To a Sea of Dancing Snow""",electric_piano:metallic_percussion:piano
1097,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",oboe:woodwinds
1098,"Napple Tale--""Snowball""",piano
1099,"SaGa Frontier 2--""Naturvolk""",oboe:woodwinds
1100,"Bravely Default--""Land of Immortality""",glockenspiel:metallic_percussion:percussion
1101,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",treble_vocal_synth:vocals:synth
1102,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",no_bass
1103,"Pokémon X/Y--""Snowbelle City""",strings:strings
1104,"Final Fantasy XIII--""Lake Bresha""",piano:piano
1105,"Kingdom Hearts II--""The Home of Dragons""",gong:metallic_percussion:percussion
1106,"Zwei: The Ilvard Insurrection--""Edge of Stars""",sleigh_bells:metallic_percussion
1107,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",shaker:auxiliary_percussion
1108,"Final Fantasy X--""People of the North Pole""",strings:strings
1109,"Final Fantasy X-2--""Mt. Gagazet""",tresillo
1110,"Odin Sphere--""Battle on the Snowy Mountain""",horn:brass
1111,"Kantai Collection--""Winter Fleet""",glockenspiel:metallic_percussion:percussion
1112,"Sonic the Hedgehog 3--""Ice Cap Zone""",80s
1113,"Donkey Kong Country 2--""In a Snow-Bound Land""",drumset:drums
1114,"Final Fantasy VII--""Buried in the Snow""",acoustic_bass:bass
1115,"Stardew Valley--""Marimba of Frozen Bones""",synth_bass:synth:bass
1116,"Celeste--""My Dearest Friends""",sine_wave:synth
1117,"Animal Crossing: New Horizons--""Toy Day""",celesta:metallic_percussion:percussion
1118,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",I6–IV–V
1119,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",glockenspiel:metallic_percussion:percussion
1120,"Super Mario 3D Land--""Snowball Park""",clarinet:woodwinds
1121,"Super Mario 64--""Cool, Cool Mountain""",horn:brass
1122,"Mother 3--""White""",synth:synth
1123,"Donkey Kong Country--""Ice Cave Chant""",strings:strings
1124,"Mario Party 3--""Chilly-Chilly Lake""",clarinet:woodwinds
1125,"Kirby Triple Deluxe--""Silver Snow Story""",piano:piano
1126,"Atelier Totori: The Adventurer of Arland--""Hepatica""",glockenspiel:metallic_percussion:percussion
1127,"Monster Hunter Freedom Unite--""Pokke Village""",tambourine:metallic_percussion:percussion
1128,"Paper Mario--""Cold Reception""",xylophone:percussion
1129,"Banjo-Kazooie--""Freezeezy Peak""",wind_effect
1130,"Kirby 64: The Crystal Shards--""Shiver Star""",glockenspiel:metallic_percussion:percussion
1131,"Pokémon Diamond/Pearl--""Route 216""",electric_piano:metallic_percussion:piano
1132,"Super Smash Brothers Melee--""Icicle Mountain""",electric_piano:metallic_percussion:piano
1133,"Knight Arms--""Arsys Christmas Song""",brass:brass
1134,"Super Mario Kart--""Vanilla Lake""",agogo_bells:metallic_percussion:percussion
1135,"Mario Kart 64--""Frappe Snowland""",vibraphone:metallic_percussion:percussion
1136,"Kirby Air Ride--""Float Islands""",clavinet
1137,"Kirby Air Ride--""Frozen Hillside""",electric_bass:bass
1138,"Kirby Air Ride--""Rainbow Resort""",synth_bass:synth:bass
1139,"Kirby and the Amazing Mirror--""Crystal and Ice""",crotales:metallic_percussion:percussion
1140,"Kirby Canvas Curse--""Frozen Fantasy""",chimes:metallic_percussion:percussion
1141,"Baku Bomberman--""White Ice""",electric_bass:bass
1142,"Donkey Kong Country--""Northern Hemispheres""",piano:piano
1143,"Donkey Kong Country 3--""Frosty Frolics""",electric_bass:bass
1144,"Mother 2--""Winters""",sleigh_bells:metallic_percussion
1145,"Chrono Trigger--""Singing Mountain""",treble_vocal_synth:vocals:synth
1146,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",strings:strings
1147,"Final Fantasy VI--""Terra’s Theme""",harp:plucked_strings:strings
1148,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",sleigh_bells:metallic_percussion
1149,"Trials of Mana--""Another Winter""",pizz_strings:strings:plucked_strings
1150,"Chocobo’s Dungeon 2--""Snow Field""",pizz_strings:strings:plucked_strings
1151,"Paper Mario--""Crystal Palace Crawl""",marimba:percussion
1152,"Banshee's Last Cry--""Visions of a Distant Day""",flute:woodwinds
1153,"Revelations: Persona--""Snow Queen""",chimes:metallic_percussion:percussion
1154,"Secret of Mana--""A Bell is Tolling""",flute:woodwinds
1155,"Sorcerian--""Cave I""",pan_flute:woodwinds
1156,"Pokémon Diamond/Pearl--""Mt. Coronet""",strings:strings
1157,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",choral_synth:synth:vocals
1158,"Soma Bringer--""Village of Snow""",pizz_strings:strings:plucked_strings
1159,"Final Fantasy Tactics--""Antidote""",oboe:woodwinds
1160,"Pokémon Diamond/Pearl--""Route 216 (Night)""",electric_piano:metallic_percussion:piano
1161,"Captain Toad: Treasure Tracker--""Star Express""",synth:synth
1162,"Christmas Nights into Dreams--""Jack Frost's Chime""",drumset:drums
1163,"F-Zero--""White Land""",drumset:drums
1164,"Gradius Gaiden--""Snowfield""",sweeps
1165,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",drumset:drums
1166,"The Legend of Xanadu--""Ice Tower""",glockenspiel:metallic_percussion:percussion
1167,"Mega Man & Bass--""Coldman Stage""",flute:woodwinds
1168,"Mega Man Zero 2--""Ice Brain""",drumset:drums
1169,"Super Street Fighter IV--""Theme of Zangief""",trombone:brass
1170,"Mega Man X--""Chill Penguin Stage""",electric_bass:bass
1171,"Mega Man X2--""Crystal Snail Stage""",vibraphone:metallic_percussion:percussion
1172,"Mega Man X3--""Blizzard Buffalo Stage""",brass:brass
1173,"Mega Man X4--""Frost Walrus Stage 2""",crotales:metallic_percussion:percussion
1174,"Mega Man Zero 3--""Trail on Powdery Snow""",drumset:drums
1175,"Mega Man ZX--""Wonder Panorama""",electric_bass:bass
1176,"Castle Crashers--""Winter Bliss""",synth_bass:synth:bass
1177,"Persona 3 FES--""The Snow Queen""",piano:piano
1178,"Mushihimesama Futari--""Sea of Frozen Crystals""",glockenspiel:metallic_percussion:percussion
1179,"Scott Pilgrim Vs. The World: The Game--""Another Winter""",square_wave:synth
1180,"Revelations: Persona--""Ice Castle""",electric_guitar:guitar
1181,"Sonic Unleashed--""Cool Edge (Day)""",electric_bass:bass
1182,"Gurumin--""Jun Jun Jungle Gym""",gamelan:metallic_percussion:percussion
1183,"Diddy Kong Racing--""Frosty Village""",electric_guitar:guitar
1184,"Mario Kart 8--""Mount Wario""",trumpet
1185,"Mario Kart 7--""Rosalina's Ice World""",organ:organ
1186,"Pokémon Mystery Dungeon: Gates to Infinity--""Glacier Palace (Great Spire)""",harp:plucked_strings:strings
1187,"Ace Combat 5: The Unsung War--""Ice Cage""",strings:strings
1188,"Pokémon Mystery Dungeon: Gates to Infinity--""Great Glacier""",flute:woodwinds
1189,"Kirby's Epic Yarn--""Snowy Fields""",harp:plucked_strings:strings
1190,"Harvest Moon 64--""New Year’s Eve""",harp:plucked_strings:strings
1191,"Harvest Moon 64--""Starry Night Festival""",cowbell:metallic_percussion:percussion
1192,"Harvest Moon 64--""Winter Season""",marimba:percussion
1193,"Tales of Symphonia--""Snow Light""",piano
1194,"Stardew Valley--""Nocturne of Ice""",choral_synth:synth:vocals
1195,"Stardew Valley--""The Wind Can Be Still""",analog_synth:synth
1196,"Stardew Valley--""Ancient""",synth_bass:synth:bass
1197,"Stardew Valley--""Winter Festival""",strings:strings
1198,"Stardew Valley--""Icicles""",synth_bass:synth:bass
1199,"Stardew Valley--""Cloth""",flute:woodwinds
1200,"Stardew Valley--""Visitor to the Unknown""",gliss
1201,"Legend of Zelda: Ocarina of Time--""Ice Cavern""",flute:woodwinds
1202,"Legend of Zelda: Twilight Princess--""Snowpeak Ruins""",pizz_strings:strings:plucked_strings
1203,"Harvest Moon: A Wonderful Life--""Quiet Winter""",acoustic_guitar:guitar:plucked_strings
1204,"Harvest Moon DS--""Winter""",sleigh_bells:metallic_percussion
1205,"Harvest Moon 3D: A New Beginning--""Winter""",strings:strings
1206,"Harvest Moon--""Winter""",strings:strings
1207,"Harvest Moon: Magical Melody--""Winter""",strings:strings
1208,"Harvest Moon: Save the Homeland--""Winter (Farm)""",pizz_strings:strings:plucked_strings
1209,"Harvest Moon: Save the Homeland--""Winter (Town)""",drumset:drums
1210,"Harvest Moon: Tree of Tranquility--""Winter""",strings:strings
1211,"Harvest Moon: Animal Parade--""Winter (Day)""",strings:strings
1212,"Harvest Moon: Animal Parade--""Winter (Night)""",electric_organ:organ
1213,"Harvest Moon: Hero of Leaf Valley--""Winter""",vibraphone:metallic_percussion:percussion
1214,"Harvest Moon DS: Island of Happiness--""Winter""",strings:strings
1215,"Harvest Moon DS: Sunshine Islands--""Winter""",hand_drums:drums
1216,"Harvest Moon: The Tale of Two Towns--""Winter""",sleigh_bells:metallic_percussion
1217,"Harvest Moon: Lost Valley--""Winter (Day)""",wind_chimes:metallic_percussion:percussion
1218,"Rune Factory: A Fantasy Harvest Moon--""Winter""",treble_vocal_synth:vocals:synth
1219,"Rune Factory 2--""Winter""",electric_bass:bass
1220,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",flute:woodwinds
1221,"Sonic Unleashed--""Cool Edge (Night)""",kalimba:metallic_percussion:percussion
1222,"Super Mario Galaxy--""Freezeflame Galaxy (Ice)""",flute:woodwinds
1223,"Yooka-Laylee--""Glitterglaze Glacier""",flute:woodwinds
1224,"Elder Scrolls II: Daggerfall--""Treading Winter""",wind_chimes:metallic_percussion:percussion
1225,"Persona 4--""Snowflakes""",piano
1226,"World of Warcraft: Wrath of the Lich King--""Ice Fortress""",flute:woodwinds
1227,"Runescape 3--""Snowdrops""",horn:brass
1228,"Persona 4--""Christmas Eve""",piano:piano
1229,"Persona 5--""Christmas Eve [out]""",electric_bass:bass
1230,"Persona 5--""Christmas Eve [in]""",electric_bass:bass
1231,"Final Fantasy XIV--""Starlight Celebration""",piano:piano
1232,"Kingdom Hearts II Final Mix--""Christmas Town""",glockenspiel:metallic_percussion:percussion
1233,"Donkey Kong Country 3: Dixie Kong’s Double Trouble!--""Christmas Bonus Level""",chimes:metallic_percussion:percussion
1234,"Overcooked! The Festive Seasoning--""Menu Music""",Christmas
1235,"Overcooked! 2--""Kevin’s Christmas Cracker Map""",brass:brass
1236,"Overcooked! 2--""Kevin’s Christmas Cracker Level""",clarinet:woodwinds
1237,"Overcooked! The Festive Seasoning--""Onion Wildfire""",harp:plucked_strings:strings
1238,"Pikmin 3--""Fortress of Festivity!""",harpsichord:plucked_strings
1239,"Final Fantasy Tactics--""Under the Stars""",wind_chimes:metallic_percussion:percussion
1240,"Persona 3--""Memories of the City""",drumset:drums
1241,"Romancing SaGa 3--""Boundaries""",celesta:metallic_percussion:percussion
1242,"Unlimited Saga--""Theme for Laura""",celesta:metallic_percussion:percussion
1243,"PoPoLoCRoIS Monogatari--""Northern World""",choral_synth:synth:vocals
1244,"Tales of Graces--""To a Sea of Dancing Snow""",acoustic_bass:bass
1245,"Seiya Monogatari: Anearth Fantasy Stories--""Forest""",strings:strings
1246,"Napple Tale--""Snowball""",electric_guitar:guitar
1247,"SaGa Frontier 2--""Naturvolk""",strings:strings
1248,"Bravely Default--""Land of Immortality""",acoustic_guitar:guitar:plucked_strings
1249,"Metroid Prime--""Ice Valley (Phendrana Drifts)""",sweeps
1250,"Xenoblade Chronicles--""Snowy Mt. Valac (Night)""",choral_synth:synth:vocals
1251,"Pokémon X/Y--""Snowbelle City""",piano:piano
1252,"Final Fantasy XIII--""Lake Bresha""",violin:strings
1253,"Kingdom Hearts II--""The Home of Dragons""",violin:strings
1254,"Zwei: The Ilvard Insurrection--""Edge of Stars""",marimba:percussion
1255,"The Legend of Heroes: Trails of Cold Steel II--""Wintry Arrival""",piano:piano
1256,"Final Fantasy X--""People of the North Pole""",marimba:percussion
1257,"Final Fantasy X-2--""Mt. Gagazet""",accordion
1258,"Odin Sphere--""Battle on the Snowy Mountain""",triangle:metallic_percussion:percussion
1259,"Kantai Collection--""Winter Fleet""",flute:woodwinds
1260,"Sonic the Hedgehog 3--""Ice Cap Zone""",synth_bass:synth:bass
1261,"Donkey Kong Country 2--""In a Snow-Bound Land""",treble_vocal_synth:vocals:synth
1262,"Final Fantasy VII--""Buried in the Snow""",strings:strings
1263,"Stardew Valley--""Marimba of Frozen Bones""",80s
1264,"Celeste--""My Dearest Friends""",lament
1265,"Animal Crossing: New Horizons--""Toy Day""",acoustic_guitar:guitar:plucked_strings
1266,"Ristar the Shooting Star--""Ring Rink, Planet Freon""",synth_lead:synth
1267,"Super Mario Odyssey--""Shiveria: Race Course Entrance""",bagpipes
1268,"Super Mario 3D Land--""Snowball Park""",electric_piano:metallic_percussion:piano
1269,"Super Mario 64--""Cool, Cool Mountain""",mandolin:guitar:plucked_strings
1270,"Mother 3--""White""",electric_bass:bass
1271,"Donkey Kong Country--""Ice Cave Chant""",xylophone:percussion
1272,"Mario Party 3--""Chilly-Chilly Lake""",shaker:auxiliary_percussion
1273,"Kirby Triple Deluxe--""Silver Snow Story""",vibraphone:metallic_percussion:percussion
1274,"Atelier Totori: The Adventurer of Arland--""Hepatica""",piano:piano
1275,"Monster Hunter Freedom Unite--""Pokke Village""",shaker:auxiliary_percussion
1276,"Paper Mario--""Cold Reception""",sleigh_bells:metallic_percussion
1277,"Banjo-Kazooie--""Freezeezy Peak""",timpani:drums:percussion
1278,"Kirby 64: The Crystal Shards--""Shiver Star""",clarinet:woodwinds
1279,"Pokémon Diamond/Pearl--""Route 216""",piano
1280,"Super Smash Brothers Melee--""Icicle Mountain""",strings:strings
1281,"Knight Arms--""Arsys Christmas Song""",chimes:metallic_percussion:percussion
1282,"Super Mario Kart--""Vanilla Lake""",hand_drums:drums
1283,"Mario Kart 64--""Frappe Snowland""",harpsichord:plucked_strings
1284,"Kirby Air Ride--""Float Islands""",xylophone:percussion
1285,"Kirby Air Ride--""Frozen Hillside""",harpsichord:plucked_strings
1286,"Kirby Air Ride--""Rainbow Resort""",synth_lead:synth
1287,"Kirby and the Amazing Mirror--""Crystal and Ice""",rapid_bass_line
1288,"Kirby Canvas Curse--""Frozen Fantasy""",synth_bass:synth:bass
1289,"Baku Bomberman--""White Ice""",pizz_strings:strings:plucked_strings
1290,"Donkey Kong Country--""Northern Hemispheres""",pan_flute:woodwinds
1291,"Donkey Kong Country 3--""Frosty Frolics""",rapid_notes
1292,"Mother 2--""Winters""",electric_bass:bass
1293,"Chrono Trigger--""Singing Mountain""",harp:plucked_strings:strings
1294,"The Legend of Zelda: Four Swords--""Frozen Hyrule""",sleigh_bells:metallic_percussion
1295,"Final Fantasy VI--""Terra’s Theme""",no_drums
1296,"Fire Emblem: Genealogy of the Holy War--""Chapter 4""",horn:brass
1297,"Trials of Mana--""Another Winter""",vibraphone:metallic_percussion:percussion
1298,"Paper Mario--""Crystal Palace Crawl""",harp:plucked_strings:strings
1299,"Revelations: Persona--""Snow Queen""",harp:plucked_strings:strings
1300,"Secret of Mana--""A Bell is Tolling""",harp:plucked_strings:strings
1301,"Sorcerian--""Cave I""",xylophone:percussion
1302,"Pokémon Diamond/Pearl--""Mt. Coronet""",drumset:drums
1303,"Pokémon Mystery Dungeon: Explorers of Sky--""Vast Ice Mountain Peak""",flute:woodwinds
1304,"Soma Bringer--""Village of Snow""",glockenspiel:metallic_percussion:percussion
1305,"Final Fantasy Tactics--""Antidote""",strings:strings
1306,"Pokémon Diamond/Pearl--""Route 216 (Night)""",electric_guitar:guitar
1307,"Captain Toad: Treasure Tracker--""Star Express""",xylophone:percussion
1308,"Christmas Nights into Dreams--""Jack Frost's Chime""",strings:strings
1309,"F-Zero--""White Land""",electric_guitar:guitar
1310,"Gradius Gaiden--""Snowfield""",electric_guitar:guitar
1311,"Pop'n TwinBee: Rainbow Bell Adventures--""Aurora World""",electric_bass:bass
1312,"The Legend of Xanadu--""Ice Tower""",pizz_strings:strings:plucked_strings
1313,"Mega Man & Bass--""Coldman Stage""",strings:strings
1314,"Mega Man Zero 2--""Ice Brain""",oboe:woodwinds
1315,"Super Street Fighter IV--""Theme of Zangief""",electric_bass:bass
1316,"Mega Man X--""Chill Penguin Stage""",glockenflute:metallic_percussion:percussion:woodwinds
1317,"Mega Man X2--""Crystal Snail Stage""",strings:strings
1318,"Mega Man X3--""Blizzard Buffalo Stage""",electric_organ:organ
1319,"Mega Man X4--""Frost Walrus Stage 2""",treble_vocal_synth:vocals:synth
1320,"Mega Man Zero 3--""Trail on Powdery Snow""",piano
1321,"Mega Man ZX--""Wonder Panorama""",chimes:metallic_percussion:percussion
1322,"Castle Crashers--""Winter Bliss""",synth_lead:synth
1323,"Persona 3 FES--""The Snow Queen""",synth_pad:synth
1324,"Mushihimesama Futari--""Sea of Frozen Crystals""",detuned
1325,"Scott Pilgrim Vs. The World: The Game--""Another Winter""",drumset:drums
1326,"Revelations: Persona--""Ice Castle""",drumset:drums
1327,"Sonic Unleashed--""Cool Edge (Day)""",synth_pad:synth
1328,"Gurumin--""Jun Jun Jungle Gym""",detuned
1329,"Diddy Kong Racing--""Frosty Village""",electric_organ:organ
